aX,aY,aZ
-0.032,1.39,1.853
-0.032,1.203,1.87
-0.102,0.849,1.955
-0.215,0.849,2.057
-0.345,0.462,2.02
-0.463,0.175,2.02
-0.535,0.061,1.844
-0.549,0.043,1.651
-0.509,0.004,1.534
-0.509,-0.058,1.487
-0.439,-0.058,1.465
-0.347,-0.108,1.444
-0.229,-0.1,1.444
-0.102,-0.016,1.397
-0.01,0.093,1.258
0.048,0.178,1.08
0.048,0.226,0.941
0.095,0.236,0.828
0.125,0.236,0.74
0.136,0.216,0.683
0.131,0.187,0.683
0.114,0.178,0.661
0.089,0.175,0.65
0.07,0.149,0.621
0.07,0.129,0.601
0.066,0.129,0.612
0.073,0.134,0.627
0.085,0.139,0.627
0.098,0.138,0.632
0.109,0.139,0.641
0.113,0.142,0.653
0.113,0.146,0.674
0.109,0.145,0.7
0.105,0.145,0.727
0.102,0.142,0.852
0.096,0.148,0.753
0.082,0.16,0.785
0.067,0.17,0.828
0.067,0.183,0.877
0.052,0.192,0.927
0.034,0.192,0.969
0.014,0.197,1.01
-0.006,0.193,1.01
-0.031,0.183,1.051
-0.056,0.165,1.084
-0.056,0.143,1.112
-0.081,0.12,1.135
-0.106,0.12,1.16
-0.131,0.101,1.197
-0.152,0.093,1.197
-0.171,0.084,1.234
-0.192,0.067,1.236
-0.203,0.05,1.208
-0.203,0.042,1.184
-0.196,0.043,1.165
-0.182,0.043,1.147
-0.167,0.052,1.147
-0.148,0.057,1.138
-0.126,0.059,1.131
-0.106,0.059,1.114
-0.106,0.055,1.091
-0.086,0.053,1.067
-0.067,0.053,1.041
-0.054,0.051,1.041
-0.044,0.051,1.016
-0.038,0.059,0.993
-0.031,0.067,0.973
-0.024,0.075,0.954
-0.024,0.078,0.938
-0.017,0.078,0.922
-0.009,0.076,0.906
0,0.073,0.906
0.011,0.069,0.892
0.022,0.064,0.88
0.033,0.057,0.869
0.033,0.049,0.858
0.043,0.049,0.853
0.05,0.042,0.848
0.055,0.037,0.848
0.057,0.035,0.843
0.057,0.034,0.843
0.057,0.036,0.842
0.057,0.036,0.844
0.053,0.033,0.846
0.052,0.033,0.848
0.05,0.026,0.848
0.047,0.015,0.853
0.044,0.002,0.856
0.041,-0.014,0.859
0.041,-0.031,0.863
0.039,-0.049,0.869
0.037,-0.049,0.875
0.035,-0.064,0.875
0.032,-0.079,0.879
0.032,-0.093,0.881
0.029,-0.105,0.887
0.029,-0.114,0.893
0.025,-0.121,0.897
0.023,-0.245,0.9
0.022,-0.127,0.905
0.02,-0.132,0.905
0.017,-0.133,0.911
0.014,-0.136,0.912
0.01,-0.142,0.912
0.01,-0.147,0.912
0.006,-0.148,0.912
0.001,-0.148,0.909
-0.004,-0.145,0.909
-0.009,-0.143,0.906
-0.01,-0.144,0.905
-0.01,-0.145,0.904
-0.01,-0.147,0.9
-0.01,-0.151,0.897
-0.007,-0.151,0.894
-0.007,-0.15,0.894
-0.006,-0.146,0.891
-0.006,-0.144,0.887
-0.006,-0.151,0.882
-0.016,0.925,1.832
-0.065,1.666,1.84
-0.126,2.075,2.164
-0.248,1.915,2.189
